SEX,AGE,CATTEL,PATTER_COMPL,PAP_FOLD,NUMB_SERIES,MENTAL_COUNTERS,N_BACK,SSPAN,CSSPAN,CHANGE_DET_COL,CHANGE_DET__FIG,CHANGE_DET__LET, CHANGE_DETECTION_MEAN ,CRT_ARR,CRT_LET,CRT_DIG,ICO_FIG,ICO_LET,ICO_COL,FD_SIZ,FD_ORIENT,FD_BRI,FM_SIZ,FM_ORIENT,FM_BRI,NUMER16/36,NUMERS28/60,NUMERS8/20,IT_CIR,IT_LIN,IT_SQU,TOJ_DIS,TOJ_APP,DD_EMPTY,DD_FILLED,ICO_FIG_TRAIN,ICO_LET_TRAIN,ICO_COL_TRAIN,FD_SIZ_TRAIN,FD_ROT_TRAIN,FD_BRI_TRAIN,FR_SIZ_TRAIN,FR_ROT_TRAIN,FR_BRI_TRAIN,NUMER/36_TRAIN,NUMER/60_TRAIN,NUMER/20_TRAIN,TOJ_DIS_TRAIN,TOJ_APP_TRAIN,DD_EMPTY_TRAIN,DD_FILLED_TRAIN,IT_CIR_TRAIN,IT_LIN_TRAIN,IT_SQU_TRAIN
F,27,27,8,8,9,0.04,0.53,0.43,0.61,1.75,1.60,3.00,2.12,-483,-640,-499,4.86,2.63,4.29,-2.75,-5.00,-4.50,-16.75,-14.75,-35.00,0.91,0.79,0.89,-152.00,-86.00,-65.00,-19.25,-62.13,-168.00,-108.50,0.83,0.67,0.83,0.79,0.83,0.83,0.88,0.83,0.71,0.75,0.88,0.96,1.00,0.92,0.83,0.92,0.88,1.00,0.92
M,24,26,7,8,7,0.05,0.23,0.33,0.50,1.60,0.50,2.60,1.57,-579,-650,-539,3.88,5.00,4.50,-2.63,-1.75,-4.00,-14.75,-10.25,-25.75,0.61,0.67,0.62,-149.00,-102.00,-92.00,-45.50,-112.88,-168.58,-182.29,0.83,0.61,0.83,0.71,0.63,0.96,0.79,0.92,0.67,0.88,0.79,0.75,0.92,0.63,0.46,0.67,0.88,0.83,0.92
F,21,33,12,11,11,0.34,0.53,0.66,0.88,5.30,2.90,4.10,4.08,-474,-559,-489,7.88,7.50,7.13,-1.13,-0.88,-4.13,-6.25,-10.25,-19.50,0.76,0.64,0.84,-127.00,-228.00,-123.00,-35.00,-45.50,-168.00,-103.25,0.89,0.78,0.72,0.96,0.88,0.92,1.00,0.96,0.83,0.67,0.75,0.88,0.92,0.92,0.88,0.71,0.50,0.46,0.92
F,21,17,7,10,10,0.04,0.29,0.42,0.27,3.80,0.90,3.10,2.60,-554,-671,-538,3.29,3.75,5.13,-1.88,-8.13,-2.63,-16.25,-20.25,-32.00,0.63,0.53,0.71,-143.00,-106.00,-118.00,-46.38,-64.75,-168.00,-150.50,0.44,0.67,0.83,0.96,0.96,0.71,0.92,0.88,0.67,0.71,0.54,0.71,0.96,0.96,0.63,0.75,0.75,0.67,0.58
F,21,30,8,7,9,-0.05,0.40,0.44,0.56,3.45,3.50,4.30,3.75,-484,-561,-484,3.88,5.00,2.86,-1.88,-6.71,-5.50,-24.25,-19.25,-42.75,0.74,0.82,0.84,-81.00,-81.00,-75.00,-28.88,-79.63,-290.50,-154.00,0.78,0.67,0.56,0.96,0.96,0.96,0.79,0.67,0.58,0.71,0.83,0.92,1.00,0.79,0.58,0.67,0.92,0.88,0.96
M,28,36,13,13,15,0.53,0.91,0.76,0.70,5.75,4.90,5.10,5.23,-374,-499,-436,11.63,9.38,9.88,-1.75,-4.25,-2.88,-15.00,-8.75,-24.00,0.92,0.84,0.90,-92.00,-60.00,-50.00,-24.50,-36.75,-115.50,-66.50,1.00,0.94,1.00,0.92,0.88,0.92,0.88,0.96,0.75,0.88,0.83,0.83,1.00,0.92,1.00,0.88,1.00,0.88,1.00
M,23,26,3,10,10,0.13,0.30,0.48,0.51,4.25,2.50,3.90,3.55,-499,-531,-530,3.13,3.71,4.63,-4.86,-5.63,-3.00,-28.00,-18.00,-34.50,0.88,0.78,0.84,-139.00,-117.00,-84.00,-98.00,-112.88,-180.25,-219.08,0.39,0.78,0.78,0.83,0.92,0.92,0.63,0.79,0.58,0.83,0.79,0.96,0.92,0.75,0.79,0.54,0.71,0.58,0.92
F,23,27,7,7,9,0.40,0.34,0.40,0.37,2.45,1.20,2.60,2.10,-654,-732,-607,5.00,6.75,4.13,-2.00,-4.25,-3.38,-17.43,-15.71,-37.75,0.71,0.67,0.71,-144.00,-77.00,-116.00,-83.13,-58.63,-287.00,-229.25,0.56,0.61,0.83,0.75,0.88,0.79,0.83,0.83,0.75,0.63,0.58,0.75,0.92,0.88,0.71,0.79,0.79,0.79,0.88
M,25,27,11,9,7,-0.09,0.64,0.48,0.48,3.55,1.70,1.70,2.32,-529,-590,-529,4.38,4.63,2.75,-1.38,-4.00,-4.75,-23.00,-9.75,-38.25,0.79,0.64,0.87,-112.00,-69.00,-79.00,-25.38,-77.00,-155.75,-117.00,0.67,0.78,0.72,0.75,0.75,1.00,0.96,0.83,0.71,0.75,0.67,0.92,1.00,0.88,0.96,0.71,0.79,0.92,1.00
F,27,30,10,12,2,0.04,0.82,0.43,0.59,5.25,3.50,3.80,4.17,-499,-562,-546,7.00,6.75,8.13,-1.38,-3.75,-3.00,-6.25,-8.25,-28.00,0.74,0.87,0.82,-67.00,-40.00,-50.00,-27.13,-41.13,-99.75,-108.50,1.00,0.94,0.89,0.92,0.83,0.83,0.88,0.96,0.75,0.83,0.75,0.83,0.92,0.92,1.00,0.83,1.00,0.92,1.00
F,19,24,3,3,8,0.32,0.59,0.52,0.46,1.60,1.50,2.30,1.77,-562,-576,-546,4.38,4.63,3.50,-4.00,-6.63,-2.00,-41.75,-25.43,-46.75,0.77,0.81,0.79,-144.00,-131.00,-103.00,-16.92,-45.35,-155.75,-135.00,0.83,0.72,0.89,0.79,0.54,0.92,0.54,0.71,0.67,0.79,0.88,0.79,0.94,0.88,0.79,0.71,0.75,0.88,0.88
F,20,31,5,6,9,-0.04,0.26,0.36,0.43,1.75,0.50,-0.40,0.60,-656,-600,-647,4.13,3.50,7.25,-2.43,-6.71,-5.88,-25.25,-29.50,-38.00,0.67,0.50,0.76,-124.00,-133.00,-108.00,-22.75,-55.13,-215.25,-136.50,0.50,0.72,0.94,0.83,0.71,0.71,0.79,0.71,0.46,0.79,0.63,0.92,1.00,0.92,0.54,0.46,0.79,0.75,0.83
M,23,32,8,7,8,0.10,0.53,0.66,0.84,3.30,3.00,3.70,3.32,-451,-499,-468,6.75,4.38,5.29,-1.38,-4.63,-1.75,-11.50,-9.71,-28.00,0.80,0.65,0.70,-139.00,-95.00,-73.00,-21.00,-64.75,-129.50,-112.00,0.89,0.67,0.83,0.96,0.96,1.00,0.83,0.96,0.75,0.71,0.58,0.67,0.92,0.88,0.54,0.79,0.54,0.79,0.67
M,23,27,9,6,11,0.18,0.67,0.39,0.64,1.00,-0.40,1.90,0.82,-449,-489,-459,5.75,8.50,8.38,-1.13,-6.29,-3.88,-14.50,-13.25,-25.50,0.64,0.77,0.78,-97.00,-92.00,-46.00,-15.75,-61.25,-159.25,-137.38,1.00,0.67,0.72,0.96,0.92,0.96,0.79,0.79,0.54,0.88,0.75,0.83,1.00,0.92,0.54,0.29,0.96,1.00,1.00
M,23,26,12,11,16,0.39,0.91,0.61,0.70,1.95,0.00,2.40,1.43,-484,-484,-514,6.75,6.13,7.50,-2.88,-3.25,-5.88,-19.25,-10.29,-24.29,0.52,0.50,0.59,-99.00,-41.00,-55.00,-17.50,-16.63,-169.75,-166.25,0.94,0.83,0.83,0.79,0.79,0.71,0.83,0.92,0.63,0.71,0.58,0.58,1.00,0.96,0.88,0.71,0.92,0.96,0.96
M,25,27,5,10,8,0.23,0.37,0.59,0.57,0.70,-0.10,1.90,0.82,-484,-592,-546,2.75,3.29,5.86,-3.29,-3.88,-5.38,-18.00,-21.50,-24.86,0.81,0.68,0.76,-110.00,-80.00,-59.00,-21.00,-35.00,-175.00,-136.50,0.39,0.83,0.67,0.79,1.00,0.92,0.67,0.71,0.67,0.71,0.71,0.83,0.96,1.00,0.13,0.25,0.92,0.96,0.92
M,23,22,3,11,8,0.18,0.40,0.26,0.47,1.45,2.10,2.10,1.85,-450,-480,-459,5.13,6.13,3.50,-2.38,-4.25,-3.00,-14.86,-14.25,-26.29,0.66,0.55,0.69,-99.00,-82.00,-85.00,-19.25,-56.88,-209.00,-127.75,0.67,0.67,0.67,0.96,1.00,0.92,0.71,0.88,0.58,0.71,0.75,0.79,1.00,0.50,0.75,0.46,0.96,0.92,0.79
F,25,23,6,8,11,0.26,0.59,0.56,0.77,2.60,2.60,2.70,2.62,-639,-835,-702,3.75,3.71,4.25,-0.38,-1.38,-1.63,-14.50,-15.00,-23.00,0.76,0.81,0.71,-109.00,-87.00,-70.00,-44.63,-56.00,-152.25,-145.25,0.83,0.44,0.78,0.96,1.00,1.00,1.00,0.83,0.96,0.67,0.83,0.71,0.96,0.92,0.75,0.42,0.79,0.92,0.67
M,26,29,11,15,13,0.40,0.15,0.57,0.60,3.90,1.60,3.40,2.95,-468,-514,-514,11.57,7.75,11.75,-1.63,-3.88,-4.25,-17.00,-12.75,-34.75,0.84,0.81,0.83,-94.00,-53.00,-53.00,-25.38,-54.25,-213.50,-87.50,0.94,0.89,1.00,1.00,0.92,0.83,0.96,0.71,0.79,0.75,0.79,0.83,1.00,1.00,0.67,0.92,0.88,1.00,1.00
M,21,32,11,15,12,0.26,0.65,0.60,0.64,1.70,1.10,2.80,1.83,-374,-451,-421,4.63,5.00,7.88,-1.50,-4.25,-2.25,-23.50,-18.50,-20.00,0.79,0.83,0.85,-85.00,-93.00,-60.00,-28.00,-57.75,-89.25,-64.75,1.00,1.00,0.83,0.96,0.96,1.00,0.58,0.96,0.79,0.71,0.79,0.96,1.00,0.92,0.83,0.92,0.67,1.00,0.96
F,20,25,7,5,8,0.20,0.27,0.38,0.33,0.70,0.80,1.00,0.82,-749,-850,-654,2.13,2.88,3.00,-1.63,-9.88,-8.13,-29.00,-21.14,-34.25,0.83,0.55,0.71,-154.00,-159.00,-101.00,-63.88,-54.98,-313.00,-211.75,0.56,0.33,0.50,0.83,0.54,0.67,0.83,0.67,0.71,0.71,0.75,0.75,0.83,0.67,0.71,0.63,0.92,0.38,0.75
M,33,26,4,7,11,0.09,0.35,0.54,0.49,-0.10,0.20,0.20,0.12,-564,-629,-629,1.75,3.75,2.86,-2.13,-9.00,-7.38,-26.75,-19.75,-57.00,0.73,0.50,0.69,-112.00,-88.00,-97.00,-41.71,-54.69,-193.00,-156.67,0.44,0.56,0.61,0.21,0.50,0.96,0.71,0.71,0.46,0.71,0.71,0.88,0.71,0.67,0.71,0.67,0.92,0.75,0.92
F,25,37,15,16,16,0.51,0.82,0.82,0.71,4.55,3.30,5.00,4.25,-470,-520,-520,6.63,6.63,4.88,-1.00,-3.63,-3.13,-9.25,-11.75,-24.25,0.89,0.89,0.90,-74.00,-52.00,-53.00,-19.25,-34.13,-140.00,-122.50,0.83,0.83,0.78,1.00,0.96,0.88,1.00,0.92,0.67,0.83,0.88,0.96,1.00,1.00,0.79,0.75,1.00,1.00,0.96
F,21,34,10,9,12,0.20,0.85,0.73,0.61,2.75,1.80,2.60,2.37,-561,-607,-561,6.50,5.75,5.13,-0.75,-4.50,-4.00,-18.50,-23.00,-43.14,0.81,0.83,0.81,-86.00,-90.00,-69.00,-23.63,-70.88,-122.50,-138.25,0.72,0.67,0.83,0.92,0.96,0.88,0.92,0.63,0.71,0.83,0.79,0.88,1.00,0.96,0.92,0.08,0.88,0.92,1.00
F,22,32,11,13,12,0.44,0.62,0.70,0.92,2.50,2.40,4.90,3.25,-499,-592,-577,9.25,6.86,11.38,-2.13,-1.75,-4.75,-25.75,-7.25,-47.00,0.67,0.62,0.78,-72.00,-107.00,-59.00,-14.88,-50.75,-259.00,-224.00,0.94,0.78,0.83,0.79,0.88,0.92,0.88,0.88,0.71,0.71,0.67,0.88,1.00,1.00,0.75,0.75,0.88,0.92,1.00
F,36,30,11,8,12,0.00,0.08,0.57,0.57,1.90,0.10,0.10,0.70,-694,-701,-664,2.63,3.88,3.57,-2.00,-3.91,-5.13,-16.00,-19.75,-21.75,0.69,0.66,0.72,-162.00,-148.00,-124.00,-75.25,-55.85,-274.75,-207.25,0.39,0.33,0.61,0.75,0.63,0.63,0.92,0.63,0.79,0.58,0.75,0.79,0.79,0.67,0.58,0.38,0.63,0.63,0.71
M,22,36,11,8,12,0.21,0.57,0.79,0.76,2.15,4.10,2.10,2.75,-451,-530,-476,12.38,7.00,9.88,-3.88,-4.00,-5.00,-19.00,-9.75,-26.86,0.65,0.84,0.78,-79.00,-57.00,-66.00,-13.13,-46.38,-42.00,-52.50,0.94,0.83,1.00,0.75,0.83,0.96,0.83,0.96,0.75,0.83,0.71,0.92,1.00,1.00,1.00,0.92,0.96,1.00,1.00
M,29,19,8,10,12,0.30,0.58,0.53,0.29,1.35,0.10,1.50,0.95,-592,-734,-609,9.00,5.75,3.00,-1.63,-10.71,-3.25,-15.43,-23.50,-34.25,0.46,0.50,0.56,-93.00,-196.00,-109.00,-12.25,-84.00,-322.00,-263.00,0.83,0.67,0.89,0.92,0.75,0.92,0.92,0.88,0.58,0.75,0.54,0.75,1.00,0.75,0.63,0.54,0.79,0.71,0.96
F,28,24,7,11,6,0.05,0.30,0.47,0.47,-0.35,-0.80,0.10,-0.35,-500,-680,-525,3.50,2.43,3.25,-0.57,-4.65,-6.75,-17.75,-10.25,-54.25,0.63,0.67,0.79,-98.00,-60.00,-126.00,-68.25,-63.00,-190.75,-166.25,0.67,0.83,0.78,0.92,0.75,0.88,0.88,0.75,0.67,0.63,0.83,0.83,1.00,0.67,0.79,0.67,0.21,0.92,0.21
F,24,37,11,10,13,0.19,0.56,0.36,0.73,0.45,0.40,1.50,0.77,-591,-623,-639,10.25,7.25,5.50,-2.38,-3.50,-5.00,-17.50,-16.25,-23.00,0.75,0.72,0.82,-87.00,-67.00,-67.00,-19.25,-50.75,-136.50,-137.67,0.89,0.67,0.83,0.92,0.96,0.92,0.92,0.79,0.54,0.79,0.75,0.88,1.00,0.96,0.96,0.04,0.79,0.96,1.00
F,22,22,8,9,10,0.05,0.31,0.50,0.30,1.15,0.40,1.10,0.87,-561,-671,-592,2.00,2.25,4.63,-1.75,-6.88,-4.75,-30.50,-31.75,-40.50,0.69,0.50,0.90,-117.00,-74.00,-95.00,-41.85,-57.75,-178.50,-170.67,0.44,0.67,0.83,0.96,0.92,0.04,0.58,0.54,0.75,0.63,0.54,0.88,0.96,0.92,0.63,0.50,0.79,0.96,0.88
F,22,28,10,12,16,0.32,0.35,0.44,0.71,1.90,3.30,2.70,2.62,-509,-580,-549,8.00,5.63,5.29,-3.88,-7.25,-4.38,-7.25,-15.50,-25.43,0.53,0.69,0.83,-92.00,-113.00,-75.00,-36.75,-90.13,-176.75,-197.75,0.72,0.67,0.67,0.75,0.83,0.88,0.96,0.88,0.83,0.63,0.67,0.75,0.88,0.67,0.83,0.54,0.88,0.92,1.00
M,23,37,14,14,10,0.43,0.81,0.39,0.63,0.85,0.40,1.90,1.07,-514,-623,-529,8.25,6.00,8.25,-1.88,-1.50,-5.43,-15.25,-6.75,-28.00,0.70,0.81,0.81,-97.00,-74.00,-59.00,-38.50,-50.75,-173.25,-71.75,0.89,0.94,0.94,0.79,0.96,0.88,0.92,0.83,0.79,0.92,0.75,0.79,0.92,0.83,1.00,0.75,0.83,1.00,0.96
M,23,33,11,8,11,0.42,0.72,0.51,0.73,1.75,1.90,3.50,2.38,-484,-554,-499,7.88,6.50,9.50,-0.88,-3.25,-1.88,-24.00,-8.00,-31.14,0.57,0.57,0.72,-70.00,-47.00,-51.00,-29.75,-36.75,-85.75,-141.75,1.00,0.78,0.94,0.88,0.96,0.96,0.79,0.92,0.67,0.67,0.63,0.88,0.96,0.96,1.00,0.79,0.92,0.96,0.83
M,20,29,9,11,14,0.46,0.63,0.61,0.57,1.80,2.40,2.00,2.07,-437,-515,-499,4.00,4.75,4.50,-1.38,-3.00,-1.38,-14.25,-7.25,-28.75,0.83,0.76,0.80,-93.00,-70.00,-116.00,-41.13,-36.75,-153.00,-157.50,0.94,0.72,0.83,1.00,1.00,0.96,0.88,1.00,0.83,0.83,0.92,0.92,0.96,0.96,0.79,0.67,0.92,0.92,0.08
M,40,24,7,10,7,0.10,-0.10,0.58,0.46,0.60,0.50,0.30,0.47,-640,-839,-599,4.25,2.57,2.29,-3.25,-7.75,-5.50,-19.50,-33.75,-51.75,0.45,0.57,0.66,-122.00,-149.00,-92.00,-71.75,-112.88,-351.75,-173.25,0.67,0.39,0.61,0.88,0.88,0.92,0.83,0.71,0.58,0.50,0.67,0.71,0.92,0.75,0.63,0.67,0.54,0.67,0.96
M,32,19,2,0,4,0.10,0.15,0.29,0.39,1.90,1.10,2.60,1.87,-538,-655,-592,5.50,4.75,6.00,-2.50,-7.25,-1.25,-18.50,-16.25,-27.75,0.84,0.71,0.86,-83.00,-63.00,-66.00,-14.00,-58.63,-203.58,-133.29,0.67,0.61,0.67,1.00,1.00,1.00,0.88,0.71,0.58,0.71,0.79,0.88,1.00,0.92,0.42,0.29,1.00,0.96,1.00
F,22,28,8,7,7,0.34,0.70,0.58,0.48,0.20,1.40,0.00,0.50,-484,-529,-514,7.29,7.00,9.13,-1.88,-3.50,-3.25,-18.50,-13.50,-29.75,0.74,0.66,0.72,-88.00,-76.00,-60.00,-20.13,-44.63,-178.50,-255.50,0.50,0.89,0.89,0.83,0.88,0.92,0.96,0.75,0.88,0.79,0.71,0.75,0.96,0.96,0.67,0.63,0.88,1.00,0.88
F,23,30,10,11,12,0.29,0.45,0.54,0.57,0.65,0.90,2.50,1.32,-529,-545,-520,3.00,3.13,6.25,-1.63,-3.13,-1.88,-10.25,-21.50,-26.25,0.82,0.92,0.87,-177.00,-133.00,-88.00,-32.38,-68.71,-211.75,-225.75,0.67,0.44,0.94,1.00,0.67,1.00,0.88,0.79,0.71,0.88,0.75,0.75,1.00,0.71,0.83,0.50,0.92,0.75,0.96
F,21,29,10,8,10,0.19,0.50,0.50,0.77,1.15,0.00,1.40,0.85,-400,-660,-489,6.13,3.75,5.75,-1.25,-4.38,-1.50,-15.25,-10.00,-19.25,0.62,0.65,0.64,-82.00,-77.00,-47.00,-77.88,-31.50,-178.50,-163.00,0.61,0.94,0.78,1.00,0.96,0.96,1.00,1.00,0.83,0.71,0.75,0.71,0.67,1.00,0.83,0.75,1.00,0.96,1.00
M,29,33,12,10,15,0.74,0.92,0.64,0.80,4.65,3.30,4.00,3.98,-451,-468,-452,10.63,9.88,7.75,-2.00,-1.88,-2.50,-13.75,-12.50,-27.00,0.83,0.86,0.93,-53.00,-46.00,-36.00,-11.38,-23.63,-75.25,-82.25,0.89,0.72,0.83,0.92,1.00,1.00,0.96,0.83,0.67,0.75,0.79,0.96,1.00,1.00,1.00,0.96,1.00,1.00,1.00
M,23,26,11,11,11,0.24,0.44,0.53,0.76,2.25,-0.50,2.00,1.25,-452,-546,-514,5.88,3.88,8.25,-2.13,-4.25,-2.63,-19.75,-10.00,-33.25,0.87,0.94,0.88,-80.00,-66.00,-61.00,-21.88,-79.63,-283.00,-168.00,0.94,0.44,0.67,0.96,0.88,0.96,0.96,0.75,0.71,0.88,0.88,0.96,1.00,0.88,0.75,0.67,0.92,0.79,1.00
F,31,24,4,4,9,0.07,0.21,0.49,0.60,4.75,3.50,4.00,4.07,-623,-780,-842,5.75,8.50,3.71,-2.63,-3.13,-2.00,-11.75,-14.50,-29.25,0.86,0.86,0.83,-78.00,-79.00,-81.00,-18.38,-51.63,-229.25,-210.00,0.89,0.83,0.83,0.79,0.96,0.92,0.92,0.92,0.71,0.79,0.96,0.79,1.00,0.79,0.75,0.58,0.88,0.88,0.88
M,22,28,6,3,6,0.19,0.68,0.51,0.33,0.55,-0.10,2.40,0.93,-525,-559,-549,5.88,3.43,7.43,-1.00,-8.63,-5.00,-24.75,-13.14,-32.50,0.87,0.79,0.86,-101.00,-94.00,-74.00,-16.63,-38.50,-227.50,-129.50,0.94,0.94,0.67,0.96,0.92,1.00,0.83,0.92,0.54,0.79,0.83,0.83,1.00,0.92,0.83,0.63,0.92,0.92,0.88
F,30,26,10,7,10,0.20,0.84,0.48,0.62,2.40,0.80,4.30,2.48,-631,-701,-577,4.00,3.25,2.25,-4.88,-11.00,-4.00,-20.25,-22.50,-31.25,0.46,0.60,0.70,-125.00,-169.00,-130.00,-105.88,-116.38,-299.00,-212.08,0.67,0.72,0.67,0.46,0.79,0.71,1.00,0.88,0.79,0.50,0.79,0.92,0.83,0.67,0.46,0.42,0.25,0.54,0.38
F,24,30,9,13,11,0.06,0.53,0.66,0.64,1.30,1.80,1.20,1.42,-546,-624,-592,3.38,5.38,2.13,-2.50,-3.38,-4.38,-15.75,-15.00,-33.25,0.75,0.76,0.79,-94.00,-90.00,-61.00,-56.88,-34.13,-213.50,-169.75,0.67,0.72,0.50,0.92,0.88,0.79,0.75,0.83,0.50,0.88,0.79,0.88,0.96,0.83,0.83,0.54,0.92,0.96,1.00
